SkillIdx,SkillName,NeedDiceNum,NeedDice0,NeedDice1,NeedDice2,NeedDice3,TargetAuto,TargetTeam,TargetObj,TargetNum,TargetChance,Var0,Var1,Var2,Command
0,Attack,1,9,0,0,0,1,2,1,1,1,3,0,0,Attack
1,Guard,1,9,0,0,0,0,1,1,1,1,3,0,0,Make Armor
2,TestSkill0,3,1,2,3,0,1,1,1,1,1,3,0,0,etc
3,TestSkill1,3,2,3,4,0,1,2,1,1,1,3,0,0,etc
4,TestSkill2,1,7,0,0,0,1,0,1,1,1,3,0,0,etc
5,TestSkill3,1,8,0,0,0,1,1,1,1,1,3,0,0,etc
6,TestSkill4,1,6,0,0,0,1,2,1,1,1,3,0,0,etc
7,TestSkill5,1,7,0,0,0,1,0,1,1,1,3,0,0,etc
8,TestSkill6,1,8,0,0,0,1,1,1,1,1,3,0,0,etc
9,TestSkill7,2,7,7,0,0,1,2,1,1,1,3,0,0,etc
10,TestSkill8,2,8,8,0,0,1,0,1,1,1,3,0,0,etc
11,TestSkill9,3,7,7,7,0,1,0,1,1,1,3,0,0,etc
12,TestSkill10,3,8,8,8,0,0,1,1,1,1,3,0,0,etc
13,TestSkill11,4,7,7,7,7,0,2,1,1,1,3,0,0,etc
14,TestSkill12,4,8,8,8,8,0,2,1,1,1,3,0,0,etc
